ID,MODULE_ID,TITLE,DESCRIPTION,IMAGE,CONTENT,LINK,,,,,,,,,,,,,,,,,,,
11,1,Use Overpass,Pedestrians are required to cross the road using the overpass. ,beginner19_useoverpass.png,"Pedestrians are required to cross the road using the overpass. By placing pedestrian traffic over car lanes, safety is ensured.
 Example Scenario: A pedestrian notices a ""Use Overpass"" sign when attempting to cross a busy street. They can't cross at street level; they have t",https://drive.google.com/open?id=1hCLYGafNMwlSNkDPThU7S_oOj61onyB0&usp=drive_copy,,,,,,,,,,,,,,,,,,,
12,1,No Right Turn,Right turns at the same location have been prohibited in a move geared towards curbing jams and collisions.,beginner21_noright.png,"Right turns at the same location have been prohibited in a move geared towards curbing jams and collisions.
Example Scenario: There is a car driving towards a ""No Right Turn"" intersection. They must go straight or left even when the path is unobstructed.",https://drive.google.com/open?id=16Vilc3gAAIRmW9d0ERfnhj0PDHbWLbXt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
13,1,No Left Turn,"Left turns at a specific location, for most cases of preventing jams, are banned.",beginner22_noleft.png,"Left turns at a specific location, for most cases of preventing jams, are banned.
Example Scenario: There is a car moving towards a ""No Right Turn"" intersection. They should go straight or in a left direction even when the path is free.",https://drive.google.com/open?id=1xRwwNxusNlp-YWOVZJKnEcpE6-diSMdK&usp=drive_copy,,,,,,,,,,,,,,,,,,,
14,1,No U-Turn,"U-turns are not allowed at such locations, to prevent sharp turns in direction of a vehicle",beginner23_nouturn.png,"U-turns are not allowed at such locations, to prevent sharp turns in direction of a vehicle, possibly causing an accident.
Example Scenario: A driver approaches an intersection with a ""No U-Turn"" sign. They have no alternative but to go ahead or go an alternate route and then reverse direction.
",https://drive.google.com/open?id=1YyLcEkAMEwgcV4FRsd6iFLGoywhVkjVK&usp=drive_copy,,,,,,,,,,,,,,,,,,,
15,1,No Overtaking Zone,"No overtaking is allowed in signposted zone, most commonly for lack of visibility or danger in the road.",beginner24_noovertaking.webp,"No overtaking is allowed in signposted zone, most commonly for lack of visibility or danger in the road.
Example Scenario: In a narrow street, a ""No Passing Zone"" sign, a driver will have to maintain their position in a slow car and not pass until a such zone is encountered.",https://drive.google.com/open?id=1W7jPpbgbMoTiHcVhuI5b0U0HmSvyT0mo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
16,1,Maximum Speed Restriction,Drivers must not exceed posted speed for safe driving.,beginner25_maximumspeed.png,"Drivers must not exceed posted speed for safe driving.
Example Scenario: As a car approaches a highway section with a ""Max 80 km/h"" sign, it cannot pass that mark.",https://drive.google.com/open?id=1D8FJvecfvR5uDauqX1iJfwBXo1KsEp8E&usp=drive_copy,,,,,,,,,,,,,,,,,,,
17,1,Loading and Unloading Zone,Vehicles can stop temporarily for loading and unloading passengers and goods.,beginner28_loadingandunloading.png,"Vehicles can stop temporarily for loading and unloading passengers and goods.
Example Scenario: There is a taxi stand in a ""Loading and Unloading Zone"" to pick up passengers but must leave immediately thereafter",https://drive.google.com/open?id=1j-Zql6aPypzimFZ--9D5neluWBwDJTIO&usp=drive_copy,,,,,,,,,,,,,,,,,,,
18,1,No Loading and Unloading Anytime,Vehicles cannot make any loading and unloading of passengers and cargo at any point in time.,beginner30_noloading.png,"Vehicles cannot make any loading and unloading of passengers and cargo at any point in time.
Example Scenario: A delivery van approaches a store in an attempt to stop but notices a ""No Loading and Unloading Anytime"" sign, and must then go in search of an alternative location.",https://drive.google.com/open?id=1niWBI8uss9z0etaBIJNLq0j6FZm7TL68&usp=drive_copy,,,,,,,,,,,,,,,,,,,
19,1,Bawal Magsakay at Magbaba,Loading and unloading is prohibited in the zone.,beginner31_bawalmagsakay.png,"Loading and unloading is prohibited in the zone
Example Scenario: There is a jeepney driver who stops to pick up a passenger but sees a ""Bawal Magsakay at Magbaba"" sign. They must drive off and find an alternative place..",https://drive.google.com/open?id=1-ttZdhYgmsi2A9VLmWS3zTushXXJg2nl&usp=drive_copy,,,,,,,,,,,,,,,,,,,
20,1,No Parking,Parking in such a zone is not allowed.,beginner32_noparking.png,"Parking in such a zone is not allowed.
Example Scenario: A car owner observes a ""No Parking"" sign posted in a crowded street and will have to search for an alternative parking location.",https://drive.google.com/open?id=1lZEoE2DI1Wasj51dF6N-q7OuWCP621HR&usp=drive_copy,,,,,,,,,,,,,,,,,,,
21,1,No Parking: Bawal Pumarada,Vehicle are not allowed to park.,beginner33_noparkingbawalpumarada.png,"Vehicles cannot stop in the restricted zone. It is forbidden in a bid to have free flow of traffic, avert congestions, and maintain road security.
Example Scenario: Car owner looking for a carpark sees a ""No Parking: Bawal Pumarada"" sign in a congested street. There is no option but to drive and try and seek an approved carpark and not stop and leave one's car in a restricted zone.",https://drive.google.com/open?id=1qiMnCYW6ChjjfO5oKbF0bV6ggirnk5PQ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
22,1,No Parking: Tow-Away Zone,Any vehicle parked in this lot will be towed.,beginner34_noparkingtowawayzone.webp,"Any vehicle parked in this lot will be towed.
Example Scenario: Car parked in a no-parking zone, and then towed when a ""Tow-Away Zone"" sign is seen afterward",https://drive.google.com/open?id=1MmVAE7O27hGqyCWZiqXh7vtGbw9Y65-L&usp=drive_copy,,,,,,,,,,,,,,,,,,,
23,1,No Parking Anytime from Monday-Friday ,Parking is prohibited during weekdays.,beginner35_noparkinganytime.png,"Parking is prohibited during weekdays.
Example Scenario: There is a sign saying ""No Parking Monday through Friday."" On weekends, one can then park there.",https://drive.google.com/open?id=1ZlnJnpUnjYUMmuvVSgY9kTx3B3rghNZ8&usp=drive_copy,,,,,,,,,,,,,,,,,,,
24,1,Use Seat Belt Sign,All passengers and operators must wear seat belts for security.,beginner37_useseatbelt.png,"All passengers and operators must wear seat belts for security.
Example Scenario: On starting a car, a ""Use Seat Belt"" sign invites its occupant and passengers to use seat belts.",https://drive.google.com/open?id=1CDk6x2u3K7f1-dVrDUld_0ARsWBDBcvo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
25,1,No Blowing of Horns,Blowing horns is not allowed in the restricted zone,beginner38_noblowing.png,"Blowing horns is not allowed in the restricted zone, predominantly in residential areas surrounding schools and hospitals.
Example Scenario: On seeing a ""No Honking of Horns"" sign when a car reaches a hospital, a honking is avoided.",https://drive.google.com/open?id=1dFTBUY0w1Bpb4ROBlDpaiI9W_DbkoCZb&usp=drive_copy,,,,,,,,,,,,,,,,,,,
26,1,Be Aware of Pedestrian Crossing,Vehicles have to stop and yield to pedestrians in crossings.,beginner39_beawareofpedestrian.webp,"Vehicles have to stop and yield to pedestrians in crossings.
Example Scenario: There is a pedestrian in sight, and a car slows down in preparation for them to pass through safely.",https://drive.google.com/open?id=1oqKZsnrJQc6yxOshQIYRX2Na-u5mHVLV&usp=drive_copy,,,,,,,,,,,,,,,,,,,
27,1,Be Aware of School Children Crossing,Vehicles have to slow down and drive with caution when schoolchildren cross a street.,beginner40_beawareofschool.png,"Vehicles have to slow down and drive with caution when schoolchildren cross a street.
Example Scenario: As a car enters a school zone during dismissal, a sign is seen and a slow down and a scan for kids crossing is initiated.",https://drive.google.com/open?id=1w_9PA99BPo04jhyMdXllFf2FNIK1_C1w&usp=drive_copy,,,,,,,,,,,,,,,,,,,
28,1,Bike Lane Ahead,"A bike path is in the fore, and automobiles must pay heed and comply with such a path.",beginner41_bikelaneahead.png,"A bike path is in the fore, and automobiles must pay heed and comply with such a path.
Example Scenario: Car driver observes a ""Bike Lane Ahead"" sign and takes care not to drive or stop in the respective lane.",https://drive.google.com/open?id=1djvZMAjj8uXfG6e4lb4FvTFdjc4fFRAr&usp=drive_copy,,,,,,,,,,,,,,,,,,,
29,1,Be Aware of Persons with Disabilities Crossing ,Vehicles must slow down and use caution for disabled persons crossing a street.,beginner42_beawareofpersonswith.webp,"Vehicles must slow down and use caution for disabled persons crossing a street.
Example Scenario: A driver approaches a crosswalk near a rehabilitation center and sees the sign, so they slow down to allow people using wheelchairs or walking aids to cross.",https://drive.google.com/open?id=1TFxL2QOfP5NM5JD3c9-5z9kpUIQWHttt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
30,1,Sharp Turn (Right),"The highway then sharpens in a right curve, and slow and careful driving is required.",beginner43_sharpturnright.webp,"The highway then sharpens in a right curve, and slow and careful driving is required.
Example Scenario: The driver notices the sign in anticipation of a winding mountainous highway and reduces speed in preparation for taking the sharp right curve.",https://drive.google.com/open?id=12NrziNbEAUQOhgB-DyNog42tmFevyxZQ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
31,1,Curve (Right),The highway in front gently curves to the right,beginner47_curveright.webp,"The highway in front gently curves to the right, with a sign requesting that drivers slow down in a proper manner.
Example Scenario: On a country highway, a car approaches head-on into view of the sign and turns to the right, curving gently.",https://drive.google.com/open?id=1oi29Q9w1LZxK73HJzZsilxeMZqd75ogY&usp=drive_copy,,,,,,,,,,,,,,,,,,,
32,1,Curve (Left),The highway continues with a slow curve to the left,beginner48_curveleft.webp,"The highway continues with a slow curve to the left, and one must drive with caution.
Example Scenario: As a car approaches a curving highway, she sees a sign and slow down and turns left.",https://drive.google.com/open?id=15sUZR-lTbTmP8eQH1Z-pwy-pbn4rJiSe&usp=drive_copy,,,,,,,,,,,,,,,,,,,
33,1,Reverse Curve (Left),"The road ahead has two gentle curves, starting with a right curve.",beginner50_reversecurveleft.webp,"The road ahead has two gentle curves, starting with a right curve.
Example Scenario: As a car comes down a highway, a sign is noticed, predicting a sequence of turns starting with a curve to the right.",https://drive.google.com/open?id=1bKJgWZtXHs-LkexHRQdwZGRySjaUBuMJ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
34,1,Intersection Ahead,"The path in front encounters a path, announcing possible cross-way traffic.",beginner55_intersectionahead.png,"The path in front encounters a path, announcing possible cross-way traffic.
Example Scenario: A car comes and sees the sign and will slow down and stop at the intersection in sight.",https://drive.google.com/open?id=1IDQ64-Z1Odb99tofKu_WdUaeR45wOuu2&usp=drive_copy,,,,,,,,,,,,,,,,,,,
35,1,Roundabout Ahead," A roundabout is approaching, and vehicles must follow its circular flow",beginner61_roundabout.webp," A roundabout is approaching, and vehicles must follow its circular flow.
Example Scenario: The driver encounters face to face with the sign in anticipation of yielding to cars in a roundabout already present.",https://drive.google.com/open?id=1mDdZ4w5loznt7uPyloxGyoeoYOfMpxqr&usp=drive_copy,,,,,,,,,,,,,,,,,,,
36,1,Traffic Lights Ahead,"A collection of lights in the distance, prompting a preparation for a stop for drivers.",beginner62_trafficlights.webp,"A collection of lights in the distance, prompting a preparation for a stop for drivers.
Example Scenario: The driver sees the sign and reduces speed in anticipation of a red light.",https://drive.google.com/open?id=1Y3yBgsX0jAMb977GkDcBhPty8OcloF7m&usp=drive_copy,,,,,,,,,,,,,,,,,,,
37,1,"Slow Down, Pedestrian Crossing Ahead",Vehicles must slow down and stop for walkers in front of them.,beginner70_slowdownpedestrian.png,"Vehicles must slow down and stop for walkers in front of them.
Example Scenario: A driver notices the sign before a busy shopping district and remains alert for pedestrians crossing.",https://drive.google.com/open?id=1LnzW6U-lxhkcz1bw2nzQYasLvsDSsM39&usp=drive_copy,,,,,,,,,,,,,,,,,,,
38,1,Pedestrian Crossing Ahead,Vehicles have to slow down and stop for pedestrians in front of them.,beginner71_pedestriancrossing.png,"Vehicles have to slow down and stop for pedestrians in front of them.
Example Scenario: As one is driving through a residential zone, one observes the sign and looks out for persons crossing at a crosswalk",https://drive.google.com/open?id=16FTsoltWApqOlDJ7cCalYGojRxofpV2Y&usp=drive_copy,,,,,,,,,,,,,,,,,,,
39,1,Be Aware and Stop for Pedestrians Crossing in Front,Vehicles have to slow down and stop for kids crossing in front of them.,beginner72_beawareandstopforchildren.png,"Vehicles have to slow down and stop for kids crossing in front of them.
Example Scenario: As a car enters a school zone, a sign can be seen, and a stop is taken when students cross.",https://drive.google.com/open?id=1PGqRmn_nOUt02qKbGlc8Vy7V6xuAE5SV&usp=drive_copy,,,,,,,,,,,,,,,,,,,
40,1,Advice to Pedestrians to Cross at Designated Areas,Pedestrians must use designated crossings for safe crossing.,beginner74_advicetothepedestrian.png,"Pedestrians must use designated crossings for safe crossing.
 Example Scenario: Pedestrian notices sign alongside a highway and heads for a nearby crosswalk rather than jaywalking",https://drive.google.com/open?id=18CDSyj_QoYAPGZg3phXz7jZ2Ig4C5uar&usp=drive_copy,,,,,,,,,,,,,,,,,,,
41,1,Be Aware and Slow Down on Bike Lane Ahead,Vehicles have to slow down and pay attention for bicycles in the path in front of them.,beginner75_beawareandslowdownonbike.png,"Vehicles have to slow down and pay attention for bicycles in the path in front of them.
 Example Scenario: As a car approaches, a cyclist sees the sign and remains vigilant for cyclists in their proper lane.",https://drive.google.com/file/d/14ylxXd_7r_L4mij9Cj0Yv-04TtESWAlu/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
42,1,Signs of School,"A school is in the vicinity, and cars must slow down and monitor kids.",beginner79_signsofschool.png,"A school is in the vicinity, and cars must slow down and monitor kids.
 Example Scenario: A driver approaches a school zone and sees the sign, prompting them to slow down and watch for students crossing the street.",https://drive.google.com/open?id=1C284zaz9eKownjHBbXKwABt64aR-iZHD&usp=drive_copy,,,,,,,,,,,,,,,,,,,
43,1,Signs of Playground,"There is a nearby Playground, and cars have to slow down and drive carefully.",beginner80_signsofplayground.png,"There is a nearby Playground, and cars have to slow down and drive carefully.
 Example Scenario: As a car enters a residential area, a sign near a park comes in view, and a car reduces its pace for kids' sake.",https://drive.google.com/open?id=1GLTx-uCklS78ZMjjthn6ZP5siSTG8x9I&usp=drive_copy,,,,,,,,,,,,,,,,,,,
44,1,Maximum Height of a Vehicle Must Be 4.8 Meters or Less ,Vehicles with a height exceeding 4.8 meters cannot pass any further.,beginner81_maximumheight.webp,"Vehicles with a height exceeding 4.8 meters cannot pass any further.
 Example Scenario: A truck driver sees this sign before a tunnel and ensures their vehicle meets the height requirement before proceeding.",https://drive.google.com/open?id=19KC14spMf4C8Cnedexty7Mh8ep9hUOPJ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
45,1,"Slow Down, Accident-Prone Area","The road ahead is accident-prone, and a prudent drop in speed is in order.",beginner82_slowdownaccident.png,"The road ahead is accident-prone, and a prudent drop in speed is in order.
Example Scenario: A car driver observes this sign posted at a curving mountain highway and reduces speed in anticipation of impending danger.",https://drive.google.com/open?id=1HaqVPeRrWfjV29tOIiWP97rpsBd8u13S&usp=drive_copy,,,,,,,,,,,,,,,,,,,
46,1,Stack Direction Sign (Multiple Destinations),It provides one signpost bearing directions to a variety of locations.,beginner84_stackdirectionsignmultiple.png,"It provides one signpost bearing directions to a variety of locations.
Example Scenario: There is a highway sign with a range of city names and an arrow in both directions.",https://drive.google.com/open?id=1WiWBaoselJoI2nBLbbEJ-IcsjjnNA1wN&usp=drive_copy,,,,,,,,,,,,,,,,,,,
47,1,Stack Direction Sign (Single Destination),It gives directions for a specific location.,beginner85_stackdirectionsignsingle.png,"It gives directions for a specific location.
Example Scenario: a car moving down a highway sees a sign with a direction towards its target location and continues moving in that direction",https://drive.google.com/open?id=1X28XPntvH4LqIKz932jjiQscoBRO5rrB&usp=drive_copy,,,,,,,,,,,,,,,,,,,
48,1,Intersection Direction Sign (Right-Facing),It guides direction in a right turn at an intersection,beginner87_intersectiondirectionsignright.png,"It guides direction in a right turn at an intersection
Example Scenario: A car at a T-intersection sees the sign and turns right in its direction.",https://drive.google.com/open?id=1DGta7Wu7cOLyo_1G2rQ44-nDmTVIQFsN&usp=drive_copy,,,,,,,,,,,,,,,,,,,
49,1,Reassurance Direction Sign,It indicates in what direction a current driver is moving.,beginner91_Reassurancedirectionsign.png,"It indicates in what direction a current driver is moving.
Example Scenario: Long distance driving individual sees sign confirming that one is in the correct direction",https://drive.google.com/open?id=1aepyHSqAeUYF0IIGzJU6ng3JVjoGfY2b&usp=drive_copy,,,,,,,,,,,,,,,,,,,
50,1,Toll Charges,It reflects toll payments to be collected at a toll highway or toll plaza,beginner97_tollcharges.png,"It reflects toll payments to be collected at a toll highway or toll plaza
Example Scenario: As a car comes near a tollway, a driver looks at a sign to see tolls and readsies in anticipation of payment.",https://drive.google.com/open?id=1MHRFUILAYcIfZWKKi-EWRJrJzBb2b-30&usp=drive_copy,,,,,,,,,,,,,,,,,,,
51,1,Lane Direction Signs,It tells one about routes to follow for a direction.,beginner98_lanedirectionsigns.png,"It tells one about routes to follow for a direction.
Example Scenario: As a car approaches a multi-lane highway, it observes this sign and enters its correct lane for its desired off-ramp.",https://drive.google.com/open?id=17l08Dmq2H3wNQ3cZtrhn9j6yNUSWkYnt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
52,1,Use Overpass,Pedestrians have to use the overpass to cross over the highway.,beginner100_useoverpass.png,"Pedestrians have to use the overpass to cross over the highway.
Example Scenario: Pedestrian, in preparation for having to cross a crowded street, sees this sign and decides to use the overpass for walkers.",https://drive.google.com/open?id=1ORso2gBco-jwXWJ9qjZQDMSugHT6U9tv&usp=drive_copy,,,,,,,,,,,,,,,,,,,
53,1,Check Brakes,"Drivers, specifically of trucks, must inspect their brakes,",beginner103_checkbrakes.png,"Drivers, specifically of trucks, must inspect their brakes, most frequently when driving down a downwards-facing hill.
Example Scenario: On noticing such a sign in anticipation of a sharp drop, a trucker stops in order to inspect their brakes.",https://drive.google.com/file/d/1rXVI-FGfvhC9MpNXkhzw0XGMYf1jn4Ik/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
54,1,Reduce Speed,"The car must slow down when entering in such an area, for it can become perilous.",beginner104_reducespeed.png,"The car must slow down when entering in such an area, for it can become perilous.
Example Scenario: As a car approaches a sharp curve, a sign is seen and its speed is lowered appropriately.",https://drive.google.com/open?id=1DdVwV6dnUkDewhef24Jjc3dCpnmvckL6&usp=drive_copy,,,,,,,,,,,,,,,,,,,
55,1,Road Closed,"The highway is shut down for all vehicular traffic for construction, maintenance, etc.",beginner107_roadclosed.png,"The highway is shut down for all vehicular traffic for construction, maintenance, etc.
Example Scenario: As one is driving towards a work zone, a sign is seen, and an alternative route is taken.",https://drive.google.com/open?id=1HaG2JW1lBz1jwBTmmRZ4JYe_vEXOGh4r&usp=drive_copy,,,,,,,,,,,,,,,,,,,
56,1,Road Narrows Ahead,"The road constricts, and care must be taken when driving.",beginner109_roadnarrowsahead.png,"The road constricts, and care must be taken when driving.
Example Scenario: Highway traveller sees this sign and will merge when highway lanes become reduced in dimensions.",https://drive.google.com/open?id=1wfaRSr0JolMa55uz2Oh87HIie6O_q0Ua&usp=drive_copy,,,,,,,,,,,,,,,,,,,
57,1,Narrow Bridge Ahead,"A bridge is narrow in front, and one must drive with caution.",beginner110_narrowbridgeahead.png,"A bridge is narrow in front, and one must drive with caution.
Example Scenario: As a car approaches a rural bridge, a sign tells them to slow down in preparation for crossing over it safely.",https://drive.google.com/open?id=1B3TrF6jziMtds-zbfOf4mfIKoMw_TlxR&usp=drive_copy,,,,,,,,,,,,,,,,,,,
58,2,Pass Either Side,"Vehicles can move both sides of an obstruction, such as a median or an island.",advanced1_passeither.png,"Vehicles can move both sides of an obstruction, such as a median or an island.
Example Scenario: On a highway with a median, one can see a sign saying one can go around it in both directions when a car approaches it.",https://drive.google.com/file/d/1M1H0gPBWGvSwsPLcMlZ3aqM7ygIm1Oxl/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
59,2,Right Lane Must Turn Right,Vehicles in the rightmost lane must turn right at the upcoming intersection.,advanced3_rightlanemust.webp,"Vehicles in the rightmost lane must turn right at the upcoming intersection.
Example Scenario: Car in the extreme rightmost position sees the sign and will make a right, not a go-straight, move",https://drive.google.com/file/d/1_83FKR4pqlxD6zUyuAbAEmtILNGnVZMn/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
60,2,Left Lane Must Turn Left,Vehicles in the leftmost lane must turn left at the upcoming intersection.,advanced4_leftlanemust.png,"Vehicles in the leftmost lane must turn left at the upcoming intersection.
Example Scenario: A vehicle in the extreme leftmost position sees the sign and is about to make a left turn at an intersection.",https://drive.google.com/file/d/1a0BTZvZUPa7yHlIEadJQ8VucowRbQwac/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
61,2,No Entry for Trucks,Trucks are not allowed to enter the designated area.,advanced6_noentryfortrucks.png,"Trucks are not allowed to enter the designated area.
Example Scenario: There is a sign seen in front of a residential street that a truck driver must navigate an alternate route",https://drive.google.com/file/d/1u3sCGZ8uSIPSGnp7mcKrwrGwNuzwlQta/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
62,2,Y-Junction Ahead,"The highway forks in two directions, producing a Y-shaped intersection.",advanced13_yjunction.webp,"The highway forks in two directions, producing a Y-shaped intersection.
Example Scenario: There is a sign and a choice for a car driver regarding whether to go left or go right at a road intersection.",https://drive.google.com/file/d/1ks_YDNI0l6RVaYWErNKOX0GTosTRGIYA/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
63,2,Half Y-Junction Behind (Right),The highway in the distance turns off to the right,advanced16_halfyjunctionbehindright.webp,"The highway in the distance turns off to the right, tending to represent a lesser deviation off a main highway.
Example Scenario: A driver observes this sign and realizes that a road to the right branches off in their direction.",https://drive.google.com/file/d/1MwlfOHROE1gK1hFPlIk-wVkO4sQky0Ot/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
64,2,Approach to Intersection Merging Traffic (Right),Traffic entering in from the right will merge onto the main carriageway.,advanced22_apporachtointersectionmergingtrafficright.webp,"Traffic entering in from the right will merge onto the main carriageway.
Example Scenario: As a car driving down the principal carriageway sees this sign, it is alerted to cars entering from the right-hand direction.",https://drive.google.com/file/d/10THrBhpFo9NUoHnmNl9pV9Bvb4rQBS8y/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
65,2,Road Narrows,"The road narrows in front, necessitating careful driving.",advanced25_roadnarrows.png,"The road narrows in front, necessitating careful driving.
Example Scenario: A driver sees the sign and prepares to navigate a narrower section of the road.",https://drive.google.com/file/d/1yj7El-qow9jdyl4wbrYph4oN-0hj4XlF/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
66,2,Diagrammatic Direction Sign,A graphical illustration of future direction of roads,advanced38_diagrammaticdirectionsign.png,"A graphical illustration of future direction of roads, including turns and off-ramps.
Example Scenario: Highway traveler glances at this sign and sees how the highway will split in front of him.",https://drive.google.com/file/d/1ESa7svutNgz-ZgF2qJ0ffSQSpo6RCVq0/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
67,2,Diagrammatic Direction Sign (For Roundabout/Rotunda Junction),A directional map for driving through a circle drive or rotunda.,advanced39_diagrammaticdirectionsignforroundabout.svg,"A directional map for driving through a circle drive or rotunda.
Example Scenario: As a car approaches a roundabout, a sign is seen and its designated lanes proceed with a desired exit.",https://drive.google.com/file/d/1Tby4RGHsSkAVnRhnEEAbYNRHUzrAvRL_/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
